aoa_deg,position_mm,y_relative_mm,mean_velocity_ms,rms_velocity_ms,sample_rate_hz,n_samples,file_name
0,15,-40,9.88171592702883,0.0246844596868746,51200.0024000048,512000,aoa0_15_10.txt
0,19,-36,9.85393611141537,0.025016001835799,51200.0024000048,512000,aoa0_19_10.txt
0,23,-32,9.83788060261614,0.0246378888000964,51200.0024000048,512000,aoa0_23_10.txt
0,27,-28,9.8060184802319,0.0256085828471004,51200.0024000048,512000,aoa0_27_10.txt
0,31,-24,9.78131029526195,0.0288386434168856,51200.0024000048,512000,aoa0_31_10.txt
0,35,-20,9.73887523983285,0.0447036025237092,51200.0024000048,512000,aoa0_35_10.txt
0,39,-16,9.69809497498752,0.100378550082837,51200.0024000048,512000,aoa0_39_10.txt
0,43,-12,9.67831611962798,0.295225701192661,51200.0024000048,512000,aoa0_43_10.txt
0,47,-8,9.44798420666048,0.951664255392694,51200.0024000048,512000,aoa0_47_10.txt
0,51,-4,8.62730508781858,1.27654555923546,51200.0024000048,512000,aoa0_51_10.txt
0,55,0,9.35588027896811,1.36961152712839,51200.0024000048,512000,aoa0_55_10.txt
0,59,4,9.63372853527238,0.556316694408054,51200.0024000048,512000,aoa0_59_10.txt
0,63,8,9.63364072451336,0.175927008849288,51200.0024000048,512000,aoa0_63_10.txt
0,67,12,9.67479999896454,0.0634060072767703,51200.0024000048,512000,aoa0_67_10.txt
0,71,16,9.72756079833705,0.0307128799090924,51200.0024000048,512000,aoa0_71_10.txt
0,75,20,9.77398435104345,0.0256718965353517,51200.0024000048,512000,aoa0_75_10.txt
0,79,24,9.81371216180159,0.0261835586416376,51200.0024000048,512000,aoa0_79_10.txt
0,83,28,9.84204697436954,0.0251920028199239,51200.0024000048,512000,aoa0_83_10.txt
0,87,32,9.8684458696319,0.0258405796431888,51200.0024000048,512000,aoa0_87_10.txt
0,91,36,9.89581841442642,0.024402938248298,51200.0024000048,512000,aoa0_91_10.txt
0,92,37,9.9124207991677,0.0243854617736868,51200.0024000048,512000,aoa0_92_10.txt
5,15,-40,9.67460243514864,0.02346269015014,51200.0024000048,512000,aoa5_15_10.txt
5,19,-36,9.65222039872269,0.0240248583081824,51200.0024000048,512000,aoa5_19_10.txt
5,23,-32,9.63367590301761,0.0238602587751967,51200.0024000048,512000,aoa5_23_10.txt
5,27,-28,9.63118144781186,0.0248576293302161,51200.0024000048,512000,aoa5_27_10.txt
