x_mm,y_mm,y_relative_mm,davis_u_streamwise_ms,davis_v_normal_ms,self_u_streamwise_ms,self_v_normal_ms,difference_u_ms,difference_v_ms,valid
-124.778223753,125.778223753,70.778223753,10.7082441034,-0.3299308914,1.50135670170354,-3.00271340340707,-9.20688740169646,-2.67278251200707,1
-124.778223753,122.2226717472,67.2226717472,10.3840252286,-0.433527599,-0,-3.00271340340707,-10.3840252286,-2.56918580440707,1
-124.778223753,118.6671197414,63.6671197414,10.9386464344,-0.7433239541,-0,-3.00271340340707,-10.9386464344,-2.25938944930707,1
-124.778223753,115.1115677357,60.1115677357,10.3961795522,-0.4232061611,-0,0,-10.3961795522,0.4232061611,1
-124.778223753,111.5560157299,56.5560157299,10.9547471902,-0.2824333754,-0,-3.00271340340707,-10.9547471902,-2.72028002800707,1
-124.778223753,108.0004637241,53.0004637241,10.7443132903,-0.4661773085,-0,-6.00542680681415,-10.7443132903,-5.53924949831415,1
-124.778223753,104.4449117184,49.4449117184,10.5771283345,-0.5730402758,-0,-6.00542680681415,-10.5771283345,-5.43238653101415,1
-124.778223753,100.8893597126,45.8893597126,11.6207162057,-0.2406321247,-0,0,-11.6207162057,0.2406321247,1
-124.778223753,97.3338077068,42.3338077068,11.6946846015,-0.4313238403,1.50135670170354,0,-10.1933278997965,0.4313238403,1
-124.778223753,93.7782557011,38.7782557011,12.3493656182,-0.192385703,-0,3.00271340340707,-12.3493656182,3.19509910640707,1
-124.778223753,90.2227036953,35.2227036953,11.8120415557,2.3720606025,-0,0,-11.8120415557,-2.3720606025,1
-124.778223753,86.6671516895,31.6671516895,12.3116368105,3.7931656616,13.5122103153318,-4.50407010511061,1.20057350483183,-8.29723576671061,1
-124.778223753,83.1115996838,28.1115996838,8.4924556267,6.3864598706,7.50678350851768,-7.50678350851768,-0.985672118182316,-13.8932433791177,1
-124.778223753,79.556047678,24.556047678,4.8459680796,4.0155476855,4.50407010511061,-7.50678350851768,-0.341897974489389,-11.5223311940177,1
-124.778223753,76.0004956722,21.0004956722,-0,-0,-0,-1.50135670170354,0,-1.50135670170354,0
-124.778223753,72.4449436665,17.4449436665,-0,-0,-0,-6.00542680681415,0,-6.00542680681415,0
-124.778223753,68.8893916607,13.8893916607,3.0453325222,5.993556466,4.50407010511061,-6.00542680681415,1.45873758291061,-11.9989832728141,1
-124.778223753,65.3338396549,10.3338396549,3.85126814,4.1056025177,4.50407010511061,-6.00542680681415,0.652801965110611,-10.1110293245141,1
-124.778223753,61.7782876492,6.7782876492,3.8909214778,3.8797208275,-0,0,-3.8909214778,-3.8797208275,1
-124.778223753,58.2227356434,3.2227356434,2.1562325771,3.0056763206,1.50135670170354,-3.00271340340707,-0.654875875396463,-6.00838972400707,1
-124.778223753,54.6671836376,-0.332816362400003,3.6782924108,4.1652185588,3.00271340340707,-4.50407010511061,-0.675579007392926,-8.66928866391061,1
-124.778223753,51.1116316319,-3.8883683681,7.5004148035,1.3481605018,7.50678350851768,-1.50135670170354,0.00636870501768438,-2.84951720350354,1
-124.778223753,47.5560796261,-7.4439203739,9.3329239577,2.0661576978,9.00814021022122,-3.00271340340707,-0.324783747478778,-5.06887110120707,1
-124.778223753,44.0005276203,-10.9994723797,9.1319938568,2.4195423672,9.00814021022122,-3.00271340340707,-0.123853646578777,-5.42225577060707,1
-124.778223753,40.4449756145,-14.5550243855,9.4014352225,2.208621607,9.00814021022122,-3.00271340340707,-0.393295012278777,-5.21133501040707,1
-124.778223753,36.8894236088,-18.1105763912,9.9714669881,1.8929542898,10.5094969119248,-1.50135670170354,0.538029923824762,-3.39431099150354,1
-124.778223753,33.333871603,-21.666128397,10.4452579322,1.6586470529,10.5094969119248,-1.50135670170354,0.0642389797247613,-3.16000375460354,1
-124.778223753,29.7783195972,-25.2216804028,10.0830252932,1.4718101251,10.5094969119248,-1.50135670170354,0.426471618724761,-2.97316682680354,1
-124.778223753,26.2227675915,-28.7772324085,10.1646015968,1.1293483093,10.5094969119248,-1.50135670170354,0.344895315124761,-2.63070501100354,1
-124.778223753,22.6672155857,-32.3327844143,10.6696403791,1.1559308805,10.5094969119248,-1.50135670170354,-0.160143467175239,-2.65728758220354,1
-124.778223753,19.1116635799,-35.8883364201,10.4445376654,1.1588119478,10.5094969119248,-1.50135670170354,0.0649592465247615,-2.66016864950354,1
-124.778223753,15.5561115742,-39.4438884258,10.6152616658,1.3310545228,10.5094969119248,-1.50135670170354,-0.105764753875238,-2.83241122450354,1
-124.778223753,12.0005595684,-42.9994404316,10.3655145144,0.8845234585,-0,0,-10.3655145144,-0.8845234585,1
-124.778223753,8.4450075626,-46.5549924374,10.1619224333,1.0257215309,-0,0,-10.1619224333,-1.0257215309,1
-124.778223753,4.8894555569,-50.1105444431,10.2068925717,0.8661573704,-0,0,-10.2068925717,-0.8661573704,1
-124.778223753,1.3339035511,-53.6660964489,10.0167406982,0.9383401345,-0,0,-10.0167406982,-0.9383401345,1
-124.778223753,-2.2216484547,-57.2216484547,-0,-0,-0,0,0,0,0
-124.778223753,-5.7772004604,-60.7772004604,9.8609339535,0.7774514276,-0,0,-9.8609339535,-0.7774514276,1
-121.2226717472,125.778223753,70.778223753,-0,-0,10.5094969119248,0,10.5094969119248,0,0
-121.2226717472,122.2226717472,67.2226717472,10.7777498519,-0.4072729425,10.5094969119248,0,-0.268252939975238,0.4072729425,1
-121.2226717472,118.6671197414,63.6671197414,10.9381602901,-0.4622423319,10.5094969119248,0,-0.428663378175239,0.4622423319,1
-121.2226717472,115.1115677357,60.1115677357,10.6307631539,-0.1925646957,10.5094969119248,0,-0.121266241975238,0.1925646957,1
-121.2226717472,111.5560157299,56.5560157299,10.9213578827,-0.6110712232,10.5094969119248,0,-0.411860970775239,0.6110712232,1
-121.2226717472,108.0004637241,53.0004637241,10.9316578415,-0.2015472679,10.5094969119248,0,-0.422160929575238,0.2015472679,1
-121.2226717472,104.4449117184,49.4449117184,10.973565056,-0.4379293887,10.5094969119248,0,-0.464068144075238,0.4379293887,1
-121.2226717472,100.8893597126,45.8893597126,11.4850611807,-0.096575896,10.5094969119248,0,-0.975564268775239,0.096575896,1
-121.2226717472,97.3338077068,42.3338077068,11.7421964369,0.1662513296,12.0108536136283,0,0.268657176728297,-0.1662513296,1
-121.2226717472,93.7782557011,38.7782557011,12.0301012627,0.7862206404,12.0108536136283,0,-0.0192476490717031,-0.7862206404,1
-121.2226717472,90.2227036953,35.2227036953,12.416938961,1.919387939,-0,-4.50407010511061,-12.416938961,-6.42345804411061,1
-121.2226717472,86.6671516895,31.6671516895,-0,-0,-0,0,0,0,0
-121.2226717472,83.1115996838,28.1115996838,-0,-0,-0,0,0,0,0
-121.2226717472,79.556047678,24.556047678,-0,-0,-0,-3.00271340340707,0,-3.00271340340707,0
-121.2226717472,76.0004956722,21.0004956722,-0,-0,-0,-4.50407010511061,0,-4.50407010511061,0
-121.2226717472,72.4449436665,17.4449436665,4.9442623059,6.3271674484,-0,0,-4.9442623059,-6.3271674484,1
-121.2226717472,68.8893916607,13.8893916607,-0,-0,3.00271340340707,-7.50678350851768,3.00271340340707,-7.50678350851768,0
-121.2226717472,65.3338396549,10.3338396549,1.466334379,4.8584589096,1.50135670170354,-4.50407010511061,0.0350223227035371,-9.36252901471061,1
-121.2226717472,61.7782876492,6.7782876492,2.701646396,3.858873184,1.50135670170354,-3.00271340340707,-1.20028969429646,-6.86158658740707,1
-121.2226717472,58.2227356434,3.2227356434,-0.7090948126,2.0830990036,-0,-1.50135670170354,0.7090948126,-3.58445570530354,1
-121.2226717472,54.6671836376,-0.332816362400003,1.241112814,3.0184578348,-0,-1.50135670170354,-1.241112814,-4.51981453650354,1
-121.2226717472,51.1116316319,-3.8883683681,8.2708096209,2.4202483146,-1.50135670170354,1.50135670170354,-9.77216632260354,-0.918891612896463,1
-121.2226717472,47.5560796261,-7.4439203739,10.3342809956,2.0818861487,-0,1.50135670170354,-10.3342809956,-0.580529446996463,1
-121.2226717472,44.0005276203,-10.9994723797,10.4449357453,2.0938285449,-0,4.50407010511061,-10.4449357453,2.41024156021061,1
-121.2226717472,40.4449756145,-14.5550243855,10.6016575009,2.0037908961,10.5094969119248,-1.50135670170354,-0.0921605889752382,-3.50514759780354,1
-121.2226717472,36.8894236088,-18.1105763912,10.0816549247,1.6698491351,10.5094969119248,-1.50135670170354,0.427841987224761,-3.17120583680354,1
-121.2226717472,33.333871603,-21.666128397,10.7540376084,1.7219331614,10.5094969119248,-1.50135670170354,-0.244540696475237,-3.22328986310354,1
-121.2226717472,29.7783195972,-25.2216804028,10.6371460354,1.6253644251,10.5094969119248,-1.50135670170354,-0.127649123475239,-3.12672112680354,1
-121.2226717472,26.2227675915,-28.7772324085,10.4902466858,1.3841566597,10.5094969119248,-1.50135670170354,0.0192502261247611,-2.88551336140354,1
-121.2226717472,22.6672155857,-32.3327844143,10.4877293318,1.4037914484,10.5094969119248,-1.50135670170354,0.0217675801247612,-2.90514815010354,1
-121.2226717472,19.1116635799,-35.8883364201,10.6970341455,1.1902058441,10.5094969119248,-1.50135670170354,-0.187537233575238,-2.69156254580354,1
-121.2226717472,15.5561115742,-39.4438884258,10.6288722745,1.148882862,10.5094969119248,-1.50135670170354,-0.119375362575239,-2.65023956370354,1
-121.2226717472,12.0005595684,-42.9994404316,10.594200663,1.0531847465,10.5094969119248,-1.50135670170354,-0.0847037510752386,-2.55454144820354,1
-121.2226717472,8.4450075626,-46.5549924374,10.5110492232,0.9685154482,10.5094969119248,-1.50135670170354,-0.00155231127523869,-2.46987214990354,1
-121.2226717472,4.8894555569,-50.1105444431,10.5236617683,0.8854771318,10.5094969119248,-1.50135670170354,-0.0141648563752383,-2.38683383350354,1
-121.2226717472,1.3339035511,-53.6660964489,10.4628980257,0.9058379151,10.5094969119248,-1.50135670170354,0.0465988862247624,-2.40719461680354,1
-121.2226717472,-2.2216484547,-57.2216484547,10.4148391884,1.0011336549,10.5094969119248,-1.50135670170354,0.0946577235247616,-2.50249035660354,1
-121.2226717472,-5.7772004604,-60.7772004604,10.3730193224,0.9088206503,10.5094969119248,-1.50135670170354,0.136477589524763,-2.41017735200354,1
-117.6671197414,125.778223753,70.778223753,10.4461643515,0.1760629962,10.5094969119248,0,0.0633325604247617,-0.1760629962,1
-117.6671197414,122.2226717472,67.2226717472,10.9220208719,-0.423555555,10.5094969119248,0,-0.412523959975237,0.423555555,1
-117.6671197414,118.6671197414,63.6671197414,10.8412020656,-0.3603252922,10.5094969119248,0,-0.331705153675237,0.3603252922,1
-117.6671197414,115.1115677357,60.1115677357,10.8140359781,-0.3914385279,10.5094969119248,0,-0.304539066175238,0.3914385279,1
-117.6671197414,111.5560157299,56.5560157299,10.7888244913,-0.2164709674,10.5094969119248,0,-0.279327579375238,0.2164709674,1
-117.6671197414,108.0004637241,53.0004637241,11.1874563799,-0.2115121522,10.5094969119248,0,-0.677959467975239,0.2115121522,1
-117.6671197414,104.4449117184,49.4449117184,10.9208438156,-0.3910819744,12.0108536136283,0,1.0900097980283,0.3910819744,1
-117.6671197414,100.8893597126,45.8893597126,11.0980466376,-0.1868913416,10.5094969119248,0,-0.588549725675238,0.1868913416,1
-117.6671197414,97.3338077068,42.3338077068,10.9818388168,0.4449702475,10.5094969119248,0,-0.472341904875238,-0.4449702475,1
-117.6671197414,93.7782557011,38.7782557011,11.2418444007,1.0140254287,10.5094969119248,-1.50135670170354,-0.732347488775238,-2.51538213040354,1
-117.6671197414,90.2227036953,35.2227036953,11.5055472589,1.577745194,12.0108536136283,-1.50135670170354,0.505306354728297,-3.07910189570354,1
-117.6671197414,86.6671516895,31.6671516895,10.0246306986,2.1429112207,10.5094969119248,-1.50135670170354,0.484866213324763,-3.64426792240354,1
-117.6671197414,83.1115996838,28.1115996838,-0,-0,7.50678350851768,-7.50678350851768,7.50678350851768,-7.50678350851768,0
-117.6671197414,79.556047678,24.556047678,-0,-0,4.50407010511061,-9.00814021022122,4.50407010511061,-9.00814021022122,0
-117.6671197414,76.0004956722,21.0004956722,-0,-0,4.50407010511061,-10.5094969119248,4.50407010511061,-10.5094969119248,0
-117.6671197414,72.4449436665,17.4449436665,5.3254853597,8.5131643718,4.50407010511061,-9.00814021022122,-0.821415254589389,-17.5213045820212,1
-117.6671197414,68.8893916607,13.8893916607,4.8091958091,6.8325656481,4.50407010511061,-7.50678350851768,-0.305125703989389,-14.3393491566177,1
-117.6671197414,65.3338396549,10.3338396549,4.3571660876,4.0485281736,4.50407010511061,-4.50407010511061,0.146904017510612,-8.55259827871061,1
-117.6671197414,61.7782876492,6.7782876492,4.679567828,4.7260815998,4.50407010511061,-4.50407010511061,-0.175497722889388,-9.23015170491061,1
-117.6671197414,58.2227356434,3.2227356434,1.7828995238,3.7471702528,1.50135670170354,-3.00271340340707,-0.281542822096463,-6.74988365620707,1
-117.6671197414,54.6671836376,-0.332816362400003,5.053944767,2.6230399401,4.50407010511061,-3.00271340340707,-0.549874661889389,-5.62575334350707,1
-117.6671197414,51.1116316319,-3.8883683681,8.8876558663,2.6293032544,9.00814021022122,-3.00271340340707,0.120484343921223,-5.63201665780707,1
-117.6671197414,47.5560796261,-7.4439203739,9.4224031492,2.6361865996,9.00814021022122,-3.00271340340707,-0.414262938978778,-5.63890000300707,1
-117.6671197414,44.0005276203,-10.9994723797,10.1318201487,2.556413111,10.5094969119248,-3.00271340340707,0.377676763224763,-5.55912651440707,1
-117.6671197414,40.4449756145,-14.5550243855,10.8172864864,2.8435819186,10.5094969119248,-3.00271340340707,-0.307789574475239,-5.84629532200707,1
-117.6671197414,36.8894236088,-18.1105763912,10.8671080443,2.1381600372,10.5094969119248,-1.50135670170354,-0.357611132375238,-3.63951673890354,1
-117.6671197414,33.333871603,-21.666128397,10.8057486138,1.8752354395,10.5094969119248,-1.50135670170354,-0.296251701875239,-3.37659214120354,1
-117.6671197414,29.7783195972,-25.2216804028,10.9845938732,1.7786423602,10.5094969119248,-1.50135670170354,-0.475096961275238,-3.27999906190354,1
-117.6671197414,26.2227675915,-28.7772324085,10.2343672428,1.4333567548,-0,4.50407010511061,-10.2343672428,3.07071335031061,1
-117.6671197414,22.6672155857,-32.3327844143,10.9502738034,1.4463143979,-0,-4.50407010511061,-10.9502738034,-5.95038450301061,1
-117.6671197414,19.1116635799,-35.8883364201,11.0634587946,1.2994902253,-0,0,-11.0634587946,-1.2994902253,1
-117.6671197414,15.5561115742,-39.4438884258,10.6904235852,1.1618004108,-0,3.00271340340707,-10.6904235852,1.84091299260707,1
-117.6671197414,12.0005595684,-42.9994404316,10.9222979527,1.26427018,-1.50135670170354,1.50135670170354,-12.4236546544035,0.237086521703537,1
-117.6671197414,8.4450075626,-46.5549924374,10.4238246244,0.7607735992,10.5094969119248,-1.50135670170354,0.085672287524762,-2.26213030090354,1
-117.6671197414,4.8894555569,-50.1105444431,10.5685431263,1.0318488107,10.5094969119248,-1.50135670170354,-0.0590462143752379,-2.53320551240354,1
-117.6671197414,1.3339035511,-53.6660964489,10.6607666346,0.9668529635,10.5094969119248,-1.50135670170354,-0.151269722675238,-2.46820966520354,1
-117.6671197414,-2.2216484547,-57.2216484547,10.6650388335,1.0179002637,10.5094969119248,-1.50135670170354,-0.155541921575239,-2.51925696540354,1
-117.6671197414,-5.7772004604,-60.7772004604,10.446054092,0.870759632,10.5094969119248,-1.50135670170354,0.0634428199247612,-2.37211633370354,1
-114.1115677357,125.778223753,70.778223753,10.1432527736,-0.4292976424,10.5094969119248,0,0.366244138324761,0.4292976424,1
-114.1115677357,122.2226717472,67.2226717472,10.4367636523,-0.1685481646,10.5094969119248,0,0.0727332596247621,0.1685481646,1
-114.1115677357,118.6671197414,63.6671197414,10.6937643059,-0.1764009345,10.5094969119248,0,-0.184267393975238,0.1764009345,1
-114.1115677357,115.1115677357,60.1115677357,10.7583162511,-0.2986902129,10.5094969119248,0,-0.248819339175238,0.2986902129,1
-114.1115677357,111.5560157299,56.5560157299,10.7989354337,-0.3285189966,10.5094969119248,0,-0.289438521775239,0.3285189966,1
-114.1115677357,108.0004637241,53.0004637241,11.1456250583,-0.3267061581,10.5094969119248,0,-0.636128146375238,0.3267061581,1
-114.1115677357,104.4449117184,49.4449117184,10.8321887067,0.0169899918,10.5094969119248,0,-0.322691794775238,-0.0169899918,1
-114.1115677357,100.8893597126,45.8893597126,11.0133300852,0.2727992697,10.5094969119248,0,-0.503833173275238,-0.2727992697,1
-114.1115677357,97.3338077068,42.3338077068,10.8391658441,0.2837436024,10.5094969119248,0,-0.329668932175238,-0.2837436024,1
-114.1115677357,93.7782557011,38.7782557011,10.5586097446,1.0543460514,10.5094969119248,-1.50135670170354,-0.0491128326752381,-2.55570275310354,1
-114.1115677357,90.2227036953,35.2227036953,10.8677731813,1.337220465,10.5094969119248,-1.50135670170354,-0.358276269375239,-2.83857716670354,1
-114.1115677357,86.6671516895,31.6671516895,10.5637096061,2.1625832399,10.5094969119248,-1.50135670170354,-0.0542126941752379,-3.66393994160354,1
-114.1115677357,83.1115996838,28.1115996838,10.9741278092,3.4202063451,6.00542680681415,-6.00542680681415,-4.96870100238585,-9.42563315191415,1
-114.1115677357,79.556047678,24.556047678,-0,-0,4.50407010511061,-7.50678350851768,4.50407010511061,-7.50678350851768,0
-114.1115677357,76.0004956722,21.0004956722,-0,-0,1.50135670170354,-9.00814021022122,1.50135670170354,-9.00814021022122,0
-114.1115677357,72.4449436665,17.4449436665,-0,-0,6.00542680681415,-6.00542680681415,6.00542680681415,-6.00542680681415,0
-114.1115677357,68.8893916607,13.8893916607,5.3120566076,4.5934236294,6.00542680681415,-4.50407010511061,0.693370199214149,-9.09749373451061,1
-114.1115677357,65.3338396549,10.3338396549,5.5157618121,4.7366235568,6.00542680681415,-4.50407010511061,0.489664994714149,-9.24069366191061,1
-114.1115677357,61.7782876492,6.7782876492,5.6508340367,1.5839225918,6.00542680681415,-1.50135670170354,0.354592770114149,-3.08527929350354,1
-114.1115677357,58.2227356434,3.2227356434,3.2637452029,2.7160316853,3.00271340340707,-3.00271340340707,-0.261031799492926,-5.71874508870707,1
-114.1115677357,54.6671836376,-0.332816362400003,6.9663491249,2.3906973276,6.00542680681415,-3.00271340340707,-0.960922318085851,-5.39341073100707,1
-114.1115677357,51.1116316319,-3.8883683681,9.739758726,2.8756345082,10.5094969119248,-3.00271340340707,0.769738185924762,-5.87834791160707,1
-114.1115677357,47.5560796261,-7.4439203739,9.9592353396,2.7074743999,10.5094969119248,-3.00271340340707,0.550261572324763,-5.71018780330707,1
