technique,case_id,aoa_deg,y_relative_mm,mean_velocity_ms,rms_velocity_ms,valid
HWA,0,0,-40,9.88171592702883,0.0246844596868746,1
HWA,0,0,-36,9.85393611141537,0.025016001835799,1
HWA,0,0,-32,9.83788060261614,0.0246378888000964,1
HWA,0,0,-28,9.8060184802319,0.0256085828471004,1
HWA,0,0,-24,9.78131029526195,0.0288386434168856,1
HWA,0,0,-20,9.73887523983285,0.0447036025237092,1
HWA,0,0,-16,9.69809497498752,0.100378550082837,1
HWA,0,0,-12,9.67831611962798,0.295225701192661,1
HWA,0,0,-8,9.44798420666048,0.951664255392694,1
HWA,0,0,-4,8.62730508781858,1.27654555923546,1
HWA,0,0,0,9.35588027896811,1.36961152712839,1
HWA,0,0,4,9.63372853527238,0.556316694408054,1
HWA,0,0,8,9.63364072451336,0.175927008849288,1
HWA,0,0,12,9.67479999896454,0.0634060072767703,1
HWA,0,0,16,9.72756079833705,0.0307128799090924,1
HWA,0,0,20,9.77398435104345,0.0256718965353517,1
HWA,0,0,24,9.81371216180159,0.0261835586416376,1
HWA,0,0,28,9.84204697436954,0.0251920028199239,1
HWA,0,0,32,9.8684458696319,0.0258405796431888,1
HWA,0,0,36,9.89581841442642,0.024402938248298,1
HWA,0,0,37,9.9124207991677,0.0243854617736868,1
HWA,5,5,-40,9.67460243514864,0.02346269015014,1
HWA,5,5,-36,9.65222039872269,0.0240248583081824,1
HWA,5,5,-32,9.63367590301761,0.0238602587751967,1
HWA,5,5,-28,9.63118144781186,0.0248576293302161,1
HWA,5,5,-24,9.62077610704724,0.0271259598054987,1
HWA,5,5,-20,9.61083825373582,0.0346640182434135,1
HWA,5,5,-16,9.61061255890451,0.0713380272048454,1
HWA,5,5,-12,9.51864161177204,0.414409601935822,1
HWA,5,5,-8,7.27710103593895,0.848350572983728,1
HWA,5,5,-4,9.27993136694398,0.627031167913448,1
HWA,5,5,0,9.71657502062367,0.159630717637903,1
HWA,5,5,4,9.773462652241,0.0592716976337175,1
HWA,5,5,8,9.8220447937036,0.0348062925735913,1
HWA,5,5,12,9.87481751499456,0.0266517124602338,1
HWA,5,5,16,9.92086570821498,0.0245303673699529,1
HWA,5,5,20,9.97124506706695,0.0240673992649908,1
HWA,5,5,24,10.0027693229659,0.0236827463102412,1
HWA,5,5,28,10.0346335611241,0.0234943634007218,1
HWA,5,5,32,10.0572082074886,0.0237593071882118,1
HWA,5,5,36,10.0836696170153,0.0226157354665947,1
HWA,15,15,-40,11.0477582986308,0.268831934324772,1
HWA,15,15,-36,11.1834744473612,0.360784164546279,1
HWA,15,15,-32,11.3380046108632,0.539762142746281,1
HWA,15,15,-28,11.5411843670747,0.836398282764383,1
HWA,15,15,-24,11.3640010987493,1.70757115046106,1
HWA,15,15,-20,8.04546975074226,2.93091969920204,1
HWA,15,15,-16,4.48305483851128,2.41310462828854,1
HWA,15,15,-12,4.03635660826867,1.94236344808542,1
HWA,15,15,-8,4.12016160723778,1.88119848277286,1
HWA,15,15,-4,3.78010490638906,1.78869034449639,1
HWA,15,15,0,3.70140199830407,1.84330754373887,1
HWA,15,15,4,4.34514279713844,2.18379270505478,1
HWA,15,15,8,5.83666188565668,2.43622084302872,1
HWA,15,15,12,7.72379453744507,2.42061057273674,1
HWA,15,15,16,9.60311219261837,2.07591231635571,1
HWA,15,15,20,10.8997538487539,1.43294037592542,1
HWA,15,15,24,11.4496834813402,0.921061712987632,1
HWA,15,15,28,11.575000173901,0.586938164743616,1
HWA,15,15,32,11.5307403218206,0.427582586208598,1
HWA,15,15,36,11.4434643492596,0.31702496810773,1
PIV,aoa0,0,71.6671117544,-0,0,0
PIV,aoa0,0,69.8893357515,-0,0,0
PIV,aoa0,0,68.1115597486,-0,0,0
PIV,aoa0,0,66.3337837458,-0,0,0
PIV,aoa0,0,64.5560077429,-0,0,0
PIV,aoa0,0,62.77823174,-0,0,0
PIV,aoa0,0,61.0004557371,-0,0,0
PIV,aoa0,0,59.2226797342,-0,0,0
PIV,aoa0,0,57.4449037313,-0,0,0
PIV,aoa0,0,55.6671277285,-0,0,0
PIV,aoa0,0,53.8893517256,-0,0,0
PIV,aoa0,0,52.1115757227,-0,0,0
PIV,aoa0,0,50.3337997198,-0,0,0
PIV,aoa0,0,48.5560237169,-0,0,0
PIV,aoa0,0,46.778247714,-0,0,0
PIV,aoa0,0,45.0004717112,-0,0,0
PIV,aoa0,0,43.2226957083,-0,0,0
PIV,aoa0,0,41.4449197054,-0,0,0
PIV,aoa0,0,39.6671437025,-0,0,0
PIV,aoa0,0,37.8893676996,-0,0,0
PIV,aoa0,0,36.1115916967,-0,0,0
PIV,aoa0,0,34.3338156939,-0,0,0
PIV,aoa0,0,32.556039691,-0,0,0
PIV,aoa0,0,30.7782636881,-0,0,0
PIV,aoa0,0,29.0004876852,-0,0,0
PIV,aoa0,0,27.2227116823,-0,0,0
PIV,aoa0,0,25.4449356794,10.3890835637,0.2490504222,1
PIV,aoa0,0,23.6671596766,10.9687895294,0.6788895176,1
PIV,aoa0,0,21.8893836737,11.0829081468,0.4764083998,1
PIV,aoa0,0,20.1116076708,10.9767704581,0.5510428276,1
PIV,aoa0,0,18.3338316679,11.1667999006,0.4495182743,1
PIV,aoa0,0,16.556055665,11.3823658806,0.5186148454,1
PIV,aoa0,0,14.7782796621,-0,0,0
PIV,aoa0,0,13.0005036592,-0,0,0
PIV,aoa0,0,11.2227276564,-0,0,0
PIV,aoa0,0,9.4449516535,-0,0,0
PIV,aoa0,0,7.6671756506,-0,0,0
PIV,aoa0,0,5.8893996477,-0,0,0
PIV,aoa0,0,4.1116236448,-0,0,0
PIV,aoa0,0,2.3338476419,-0,0,0
PIV,aoa0,0,0.556071639099997,-0,0,0
PIV,aoa0,0,-1.2217043638,10.7613032821,0.5565908421,1
PIV,aoa0,0,-2.9994803667,10.6219373794,0.4170106403,1
PIV,aoa0,0,-4.7772563696,10.5529793487,0.3125168882,1
PIV,aoa0,0,-6.5550323725,10.5961717311,0.3095061407,1
PIV,aoa0,0,-8.3328083754,10.5885824385,0.2226553906,1
PIV,aoa0,0,-10.1105843782,10.4936475481,0.2519678026,1
PIV,aoa0,0,-11.8883603811,10.4334995405,0.2623799004,1
PIV,aoa0,0,-13.666136384,10.4173221758,0.1141787589,1
PIV,aoa0,0,-15.4439123869,10.4742411542,0.16358436,1
PIV,aoa0,0,-17.2216883898,10.4863954778,0.2251719168,1
PIV,aoa0,0,-18.9994643927,10.4768981226,0.1247216221,1
PIV,aoa0,0,-20.7772403955,10.4317991094,0.1711537956,1
PIV,aoa0,0,-22.5550163984,10.4513479815,0.1557039134,1
PIV,aoa0,0,-24.3327924013,10.3864845889,0.1458832077,1
PIV,aoa0,0,-26.1105684042,10.3615322837,0.1327578372,1
PIV,aoa0,0,-27.8883444071,10.356734562,0.1780658467,1
PIV,aoa0,0,-29.66612041,10.3117271932,0.1867496912,1
PIV,aoa0,0,-31.4438964128,10.3182604285,0.1750700787,1
PIV,aoa0,0,-33.2216724157,10.3544599222,0.1376848811,1
PIV,aoa0,0,-34.9994484186,10.3937839133,0.1604147452,1
PIV,aoa0,0,-36.7772244215,10.3456191123,0.1920677,1
PIV,aoa0,0,-38.5550004244,10.3077678735,0.1749584207,1
PIV,aoa0,0,-40.3327764273,10.2942610807,0.1421651255,1
PIV,aoa0,0,-42.1105524302,10.2737048373,0.1536574333,1
PIV,aoa0,0,-43.888328433,10.2784925354,0.1511976143,1
PIV,aoa0,0,-45.6661044359,10.2858412617,0.1443196836,1
PIV,aoa0,0,-47.4438804388,10.3071106122,0.1379037668,1
PIV,aoa0,0,-49.2216564417,10.3079991322,0.125391838,1
PIV,aoa0,0,-50.9994324446,10.2890108653,0.1305262563,1
PIV,aoa0,0,-52.7772084475,10.2916284553,0.0886217155,1
PIV,aoa0,0,-54.5549844503,10.302497611,0.142573766,1
PIV,aoa0,0,-56.3327604532,10.3076189516,0.1073779294,1
PIV,aoa0,0,-58.1105364561,10.2879154297,0.1328627605,1
PIV,aoa0,0,-59.888312459,10.2717194498,0.1293169141,1
PIV,aoa0,0,-61.6660884619,10.2423875499,0.1181270034,1
PIV,aoa0,0,-63.4438644648,10.1952394277,0.11106697,1
PIV,aoa5,5,71.6671117544,-0,0,0
PIV,aoa5,5,69.8893357515,-0,0,0
PIV,aoa5,5,68.1115597486,-0,0,0
PIV,aoa5,5,66.3337837458,-0,0,0
PIV,aoa5,5,64.5560077429,-0,0,0
PIV,aoa5,5,62.77823174,-0,0,0
PIV,aoa5,5,61.0004557371,-0,0,0
PIV,aoa5,5,59.2226797342,-0,0,0
PIV,aoa5,5,57.4449037313,-0,0,0
PIV,aoa5,5,55.6671277285,-0,0,0
PIV,aoa5,5,53.8893517256,-0,0,0
PIV,aoa5,5,52.1115757227,-0,0,0
PIV,aoa5,5,50.3337997198,-0,0,0
PIV,aoa5,5,48.5560237169,-0,0,0
PIV,aoa5,5,46.778247714,-0,0,0
PIV,aoa5,5,45.0004717112,-0,0,0
PIV,aoa5,5,43.2226957083,-0,0,0
PIV,aoa5,5,41.4449197054,-0,0,0
PIV,aoa5,5,39.6671437025,-0,0,0
PIV,aoa5,5,37.8893676996,-0,0,0
PIV,aoa5,5,36.1115916967,-0,0,0
PIV,aoa5,5,34.3338156939,-0,0,0
PIV,aoa5,5,32.556039691,-0,0,0
PIV,aoa5,5,30.7782636881,-0,0,0
PIV,aoa5,5,29.0004876852,-0,0,0
PIV,aoa5,5,27.2227116823,-0,0,0
PIV,aoa5,5,25.4449356794,-0,0,0
PIV,aoa5,5,23.6671596766,-0,0,0
PIV,aoa5,5,21.8893836737,9.7119962346,0,0
PIV,aoa5,5,20.1116076708,8.9732007971,0.8175401653,1
PIV,aoa5,5,18.3338316679,9.087008683,0.3302769963,1
PIV,aoa5,5,16.556055665,8.9022659704,0.4418606512,1
PIV,aoa5,5,14.7782796621,-0,0,0
PIV,aoa5,5,13.0005036592,-0,0,0
PIV,aoa5,5,11.2227276564,-0,0,0
PIV,aoa5,5,9.4449516535,-0,0,0
PIV,aoa5,5,7.6671756506,-0,0,0
